Sample Name ,Species,Innoculation,Treatment,Block #,Plot #,Quad#,Stem Count,Weight of Biomass,Adjusted Biomass ,Weight of Roots,Weight of Soil,ARA Soil
THIR-I,THIR,I,A,7,46,1,1,0.208,0.208,0.1916,57.0446,
THIR-U,THIR,U,A,7,46,4,1,0.1192,0.1192,0.0348,49.4878,
TWIL-U,TWIL,U,A,7,45,1,1,0.5019,0.5019,0.0426,58.7254,
TWIL-I,TWIL,U,A,7,45,2,1,0.2952,0.2952,0.1474,56.8952,
THIR-I,THIR,I,D,1,43,4,2,0.2865,0.14325,0.0821,46.8012,
TWIL-U,TWIL,U,D,1,44,3,1,0.0362,0.0362,0.0066,57.9842,
THIR-I,THIR,I,D,1,45,1,2,0.8872,0.4436,0.0739,48.0923,
TWIL-U,TWIL,U,D,1,46,1,2,0.1401,0.07005,0.0207,62.0261,
TWIL-I,TWIL,U,D,1,44,4,1,0.1057,0.1057,0.0258,44.9865,
THIR-U,THIR,U,D,1,45,4,2,0.7272,0.3636,0.0685,46.1467,
TWIL-U,TWIL,U,D,3,43,1,1,0.0427,0.0427,0.0036,50.7571,
TWIL-I,TWIL,U,D,3,43,3,1,0.4269,0.4269,0.0238,49.8671,
THIR-I,THIR,I,D,3,45,2,2,0.2516,0.1258,0.0349,43.9186,
TWIL-I,TWIL,I,D,3,46,3,1,0.0631,0.0631,0.0178,43.471,
TWIL-I,TWIL,I,D,4,44,1,1,0.0479,0.0479,0.0071,44.0522,
THIR-I,THIR,I,D,4,45,3,1,0.0494,0.0494,0.0278,63.9988,
THIR-I,THIR,I,A,5,46,2,1,0.2977,0.2977,0.017,53.3958,
THIR-U,THIR,U,A,5,46,1,2,1.8148,0.9074,0.1615,53.4797,
THIR-I,THIR,I,A,5,44,4,1,0.1573,0.1573,0.0249,69.2916,
TWIL-U,TWIL,U,A,5,45,2,1,0.1094,0.1094,0.0133,66.0369,
THIR-I,THIR,I,A,8,43,3,1,0.0304,0.0304,0.0102,43.074,
TWIL-I,TWIL,I,A,8,44,2,1,0.0115,0.0115,0.0052,61.7847,
TWIL-U,TWIL,U,A,8,44,1,1,0.102,0.102,0.0216,66.8337,
THIR-U,THIR,U,D,12,43,4,1,0.0892,0.0892,0.0179,51.4974,
THIR-U,THIR,U,D,12,46,1,1,0.6138,0.6138,0.0311,44.1427,
TWIL-I,TWIL,I,D,12,45,4,1,0.1662,0.1662,0.0117,59.7542,
THIR-I,THIR,I,D,12,43,3,1,0.6136,0.6136,0.0372,34.0102,
TWIL-U,TWIL,U,D,14,43,2,1,0.0579,0.0579,0.0092,57.6087,
TWIL-U,TWIL,U,D,14,46,2,1,0.064,0.064,0.0081,48.4167,
THIR-U,THIR,U,D,14,44,2,1,0.0231,0.0231,0.0039,49.3899,
TWIL-I,TWIL,I,D,14,43,4,1,0.042,0.042,0.0073,53.4028,
THIR-I,THIR,I,D,14,44,3,2,0.7134,0.3567,0.0778,45.6626,
THIR-I,THIR,I,D,14,45,3,3,1.0664,0.355466667,0.1372,40.7111,
THIR-U,THIR,U,A,15,44,2,2,3.8696,1.9348,0.1869,55.4323,
THIR-U,THIR,U,A,15,43,2,1,0.6849,0.6849,0.0633,46.9122,
THIR-I,THIR,I,A,15,43,4,1,0.6849,0.6849,0.0633,50.7769,
THIR-U,THIR,U,A,16,43,3,2,5.2672,2.6336,0.3967,71.8679,
THIR-U,THIR,U,A,16,46,2,2,0.5205,0.26025,0.0428,59.522,
TWIL-U,TWIL,U,A,16,45,3,2,0.1121,0.05605,0.0147,53.8134,
