"","phyto","treatment","mean.germ","se.germ"
"1","ACAM","D",0.516111111111111,0.123312894536004
"2","ACAM","C",0.655357142857143,0.0599390936563918
"3","AMME","D",0.136471861471861,0.0459519527398775
"4","AMME","C",0.878888888888889,0.038825344910347
"5","ANAR","D",0.0659722222222223,0.0215277777777778
"6","ANAR","C",0.15,0.0645497224367903
"7","AVBA","D",0.883287419651056,0.0412184594318444
"8","AVBA","C",0.958888888888889,0.0224708315735074
"9","BRHO","D",1,0
"10","BRHO","C",0.966666666666667,0.0333333333333333
"11","BRNI","D",0.388888888888889,0.133190158819205
"12","BRNI","C",0.688271604938272,0.0925390791863087
"13","CESO","D",0.744191919191919,0.0469931592783788
"14","CESO","C",0.922777777777778,0.0195211519542068
"15","CLPU","D",0.0392857142857143,0.0273809523809524
"16","CLPU","C",0.365443121693122,0.0586274390460043
"17","ERBO","D",0.0509259259259259,0.019699307754987
"18","ERBO","C",0.0285714285714286,0.0152286225968293
"19","GITR","D",0.914583333333333,0.0243199812890345
"20","GITR","C",0.975,0.0130558241966773
"21","LENI","D",0.2975,0.093756069762357
"22","LENI","C",0.848148148148148,0.0370875076991577
"23","LOMU","D",0.866666666666667,0.0414387707005374
"24","LOMU","C",0.960909090909091,0.0159803598465881
"25","MAEL","D",0.18287037037037,0.0861245735466921
"26","MAEL","C",0.585185185185185,0.103951423708787
"27","MICA","D",0.127272727272727,0.0557443989700214
"28","MICA","C",0.715555555555556,0.086180975242957
"29","PLER","D",0.53030303030303,0.0994382754036058
"30","PLER","C",0.8,0.0654653670707977
"31","PLNO","D",0.345833333333333,0.0592292313967677
"32","PLNO","C",0.664761904761905,0.0532879625609074
"33","TACA","D",0.859953703703704,0.0522786274979218
"34","TACA","C",0.871717171717172,0.0468386354371618
"35","THIR","D",0.384848484848485,0.0708339410118157
"36","THIR","C",0.79,0.0481894409826699
"37","TWIL","D",0.0181818181818182,0.0125466465334973
"38","TWIL","C",0.438035714285714,0.0259797648143317
"39","VIVI","D",0.912878787878788,0.0276113009547584
"40","VIVI","C",0.954545454545455,0.0207304622745298
