"","block","plot","sub","dens","bkgrd","phyto","phyto.n.indiv","phyto.unique","complete.sample","total.stem.length.mm","scale.ID","unique.ID","spot.check.complete.sample","spot.check.total.biomass.g","spot.check.scale","spot.check.notes"
"1",3,17,13,"L","PLNO","LENI",3,NA,"Y",2855,NA,1455,NA,NA,NA,NA
"2",3,6,14,"L","LENI","LENI",1,NA,"Y",136,NA,1181,NA,NA,NA,NA
"3",3,5,2,"L","TWIL-I","LENI",1,NA,"Y",453,NA,1144,NA,NA,NA,NA
"4",3,36,3,"L","CESO","LENI",1,NA,"Y",100,NA,1896,NA,NA,NA,NA
"5",3,25,6,"H","ACAM","LENI",1,NA,"Y",5652,NA,1624,NA,NA,NA,NA
"6",16,31,23,"L","ACAM","LENI",1,NA,"Y",49,NA,11218,NA,NA,NA,NA
"7",16,17,23,"H","TACA","LENI",1,NA,"Y",20,NA,10867,NA,NA,NA,NA
"8",16,13,23,"L","LOMU","LENI",1,NA,"Y",92,NA,10767,NA,NA,NA,NA
"9",16,18,23,"L","PLNO","LENI",1,NA,"Y",115,NA,10892,NA,NA,NA,NA
"10",16,3,23,"H","GITR","LENI",2,NA,"Y",90,NA,10517,NA,NA,NA,NA
"11",8,41,9,"H","ERBO","LENI",2,NA,"Y",1278,NA,7237,NA,NA,NA,NA
"12",8,32,9,"H","ACAM","LENI",2,NA,"Y",846,NA,7012,NA,NA,NA,NA
"13",8,1,9,"L","GITR","LENI",1,NA,"Y",269,NA,6261,NA,NA,NA,NA
"14",8,39,9,"H","CESO","LENI",2,NA,"Y",17,NA,7187,NA,NA,NA,NA
"15",8,25,9,NA,"Control","LENI",1,NA,"Y",165,NA,6837,NA,NA,NA,NA
"16",1,10,12,"H","BRHO","LENI",1,NA,"Y",99,"E",237,NA,NA,NA,NA
"17",1,24,21,"H","CLPU","LENI",2,NA,"Y",402,NA,572,NA,NA,NA,NA
"18",1,29,18,"H","TWIL-I","LENI",2,NA,"Y",1492,NA,694,NA,NA,NA,NA
"19",1,9,8,"H","ANAR","LENI",1,NA,"Y",652,NA,208,NA,NA,NA,NA
"20",1,4,22,"L","BRNI","LENI",1,NA,"Y",54,NA,97,NA,NA,NA,NA
"21",14,1,22,"L","MAEL","LENI",3,NA,"Y",1457,NA,8358,NA,NA,NA,NA
"22",14,17,22,"H","THIR-I","LENI",1,NA,"Y",421,NA,8758,NA,NA,NA,NA
"23",14,30,22,"L","CESO","LENI",2,NA,"Y",720,NA,9083,NA,NA,NA,NA
"24",14,7,22,"H","AVBA","LENI",2,NA,"Y",643,NA,8508,NA,NA,NA,NA
"25",14,27,22,"H","PLNO","LENI",3,NA,"Y",111,NA,9008,NA,NA,NA,NA
"26",15,27,23,"H","ACAM","LENI",2,NA,"Y",1723,NA,10075,NA,NA,NA,NA
"27",15,37,23,"H","AMME","LENI",2,NA,"Y",485,NA,10325,NA,NA,NA,NA
"28",15,15,23,NA,"Control","LENI",2,NA,"Y",635,NA,9775,NA,NA,NA,NA
"29",15,25,23,"H","CESO","LENI",2,NA,"Y",94,NA,10025,NA,NA,NA,NA
"30",15,13,23,"H","PLER","LENI",2,NA,"Y",295,NA,9725,NA,NA,NA,NA
"31",7,22,6,"H","AVBA","LENI",2,NA,"Y",352,NA,5717,NA,NA,NA,NA
"32",7,16,6,"H","GITR","LENI",1,NA,"Y",34,NA,5591,NA,NA,NA,NA
"33",7,39,15,"H","LENI","LENI",1,NA,"Y",82,NA,6151,NA,NA,NA,NA
"34",7,26,6,"H","CESO","LENI",1,NA,"Y",358,NA,5817,NA,NA,NA,NA
"35",7,5,6,"L","TWIL-I","LENI",1,NA,"Y",666,NA,5316,NA,NA,NA,NA
"36",4,21,24,"H","PLER","LENI",2,NA,"Y",33,NA,2608,NA,NA,NA,NA
"37",4,24,24,"H","CLPU","LENI",2,NA,"Y",66,NA,2683,NA,NA,NA,NA
"38",4,2,24,"H","BRHO","LENI",1,NA,"Y",53,"E",2133,NA,NA,NA,NA
"39",4,9,24,"H","BRNI","LENI",1,NA,"Y",69,NA,2308,NA,NA,NA,NA
"40",4,35,24,"H","AVBA","LENI",1,NA,"Y",134,NA,2958,NA,NA,NA,NA
