"","block","plot","sub","dens","bkgrd","phyto","phyto.n.indiv","phyto.unique","complete.sample","flower.num","total.biomass.g","scale.ID","unique.ID","spot.check.complete.sample","spot.check.total.biomass.g","spot.check.scale","spot.check.notes"
"1",8,32,11,"H","ACAM","LOMU",1,NA,"Y",NA,4.575,"E",7014,NA,NA,NA,NA
"2",8,6,11,"L","BRHO","LOMU",2,NA,"Y",NA,1.031,"G",6388,NA,NA,NA,NA
"3",8,4,11,"L","AMME","LOMU",3,NA,"Y",NA,4.713,"G",6338,NA,NA,NA,NA
"4",8,28,11,"L","MAEL","LOMU",1,NA,"Y",NA,10.581,"G",6914,NA,NA,NA,NA
"5",8,5,11,"H","AMME","LOMU",2,NA,"Y",NA,7.994,"G",6363,NA,NA,NA,NA
"6",5,15,2,"H","LENI","LOMU",2,NA,"Y",NA,0.95,"G",3454,NA,NA,NA,NA
"7",5,24,2,"L","AVBA","LOMU",1,"B","Y",NA,0.472,"G",11971,NA,NA,NA,NA
"8",5,28,2,"H","MAEL","LOMU",1,"B","Y",NA,1.548,"G",11876,NA,NA,NA,NA
"9",5,38,2,"H","ACAM","LOMU",1,NA,"Y",NA,1.389,"G",4029,NA,NA,NA,NA
"10",5,21,2,"L","MICA","LOMU",1,"B","Y",NA,0.244,"G",11989,NA,NA,NA,NA
"11",3,36,18,"L","CESO","LOMU",1,"B","Y",NA,1.581,"G",11812,NA,NA,NA,NA
"12",3,34,18,"H","BRNI","LOMU",1,NA,"Y",NA,0.129,"G",1861,NA,NA,NA,NA
"13",3,35,18,"H","MAEL","LOMU",3,NA,"Y",NA,4.079,"G",1886,NA,NA,NA,NA
"14",3,3,9,"L","MAEL","LOMU",1,"A","Y",NA,1.09,"E",1101,NA,NA,NA,NA
"15",3,30,18,"H","LOMU","LOMU",1,NA,"Y",NA,0.209,"F",1761,NA,NA,NA,NA
"16",1,42,15,"L","AVBA","LOMU",2,NA,"Y",NA,6.901,"G",1016,NA,NA,NA,NA
"17",1,28,9,"L","TACA","LOMU",1,"A","Y",NA,0.313,"G",660,NA,NA,NA,NA
"18",1,30,1,"H","CESO","LOMU",3,NA,"Y",NA,1.858,"E",702,NA,NA,NA,NA
"19",1,41,23,"L","LENI","LOMU",3,NA,"Y",NA,2.353,"E",999,NA,NA,NA,NA
"20",1,2,12,"L","ANAR","LOMU",1,"A","Y",NA,2.839,"G",37,NA,NA,NA,NA
"21",6,6,17,"H","LENI","LOMU",2,NA,"Y",NA,0.2851,"A",4310,NA,NA,NA,NA
"22",6,7,17,"H","AVBA","LOMU",2,NA,"Y",NA,2.5806,"A",4335,NA,NA,NA,NA
"23",6,38,17,"H","TWIL-I","LOMU",1,"A","Y",NA,9.25,"A",5086,NA,NA,NA,NA
"24",6,21,17,"L","CESO","LOMU",1,NA,"Y",NA,0.0323,"A",4685,NA,NA,NA,NA
"25",6,8,17,"H","TACA","LOMU",1,"C","Y",NA,0.8835,"A",11967,NA,NA,NA,NA
"26",14,22,2,"L","BRHO","LOMU",2,NA,"Y",NA,1.2479,"A",8863,NA,NA,NA,NA
"27",14,20,2,"H","LOMU","LOMU",1,NA,"Y",NA,0.2024,"A",8813,NA,NA,NA,NA
"28",14,3,2,"H","PLER","LOMU",3,NA,"Y",NA,1.5151,"A",8388,NA,NA,NA,NA
"29",14,21,2,"H","CLPU","LOMU",3,NA,"Y",NA,1.2773,"A",8838,NA,NA,NA,NA
"30",14,29,2,"L","TWIL-I","LOMU",1,"A","Y",NA,1.6631,"A",9038,NA,NA,NA,NA
"31",4,25,20,"H","TACA","LOMU",1,NA,"Y",NA,1.066,"G",2704,NA,NA,NA,NA
"32",4,21,20,"H","PLER","LOMU",1,NA,"Y",NA,0.514,"G",2604,NA,NA,NA,NA
"33",4,14,20,"L","LOMU","LOMU",1,NA,"Y",NA,0.522,"F",2429,NA,NA,NA,NA
"34",4,1,20,"H","THIR-I","LOMU",1,NA,"Y",NA,0.537,"F",2104,NA,NA,NA,NA
"35",4,24,20,"H","CLPU","LOMU",1,NA,"Y",NA,0.202,"G",2679,NA,NA,NA,NA
"36",12,8,9,"H","BRNI","LOMU",3,NA,"Y",NA,0.7973,"A",7478,NA,NA,NA,NA
"37",12,20,9,"L","GITR","LOMU",1,NA,"Y",NA,0.2422,"A",7778,NA,NA,NA,NA
"38",12,34,9,"H","LENI","LOMU",2,NA,"Y",NA,0.0549,"A",8104,NA,NA,NA,NA
"39",12,40,9,"H","GITR","LOMU",2,NA,"Y",NA,1.4182,"A",8254,NA,NA,NA,NA
"40",12,39,9,"H","LOMU","LOMU",1,NA,"Y",NA,0.1822,"A",8229,NA,NA,NA,NA
