"","block","plot","sub","dens","bkgrd","phyto","phyto.n.indiv","phyto.unique","complete.sample","total.biomass.g","scale.ID","unique.ID","spot.check.complete.sample","spot.check.total.biomass.g","spot.check.scale","spot.check.notes"
"1",6,13,22,"L","THIR-I","THIR-I",1,NA,"Y",0.195,"E",4490,NA,NA,NA,NA
"2",6,31,22,"H","MAEL","THIR-I",1,NA,"Y",0.177,"E",4916,NA,NA,NA,NA
"3",6,6,22,"H","LENI","THIR-I",1,NA,"Y",0.031,"E",4315,NA,NA,NA,NA
"4",6,3,22,"L","PLER","THIR-I",2,NA,"Y",0.026,"E",4240,NA,NA,NA,NA
"5",6,38,22,"H","TWIL-I","THIR-I",1,NA,"Y",0.134,"E",5091,NA,NA,NA,NA
"6",7,15,7,NA,"Control","THIR-I",2,NA,"Y",0.588,"F",5567,NA,NA,NA,NA
"7",7,32,7,"L","BRHO","THIR-I",1,NA,"Y",0.417,"F",5968,NA,NA,NA,NA
"8",7,25,7,"L","LENI","THIR-I",1,NA,"Y",1.221,"F",5793,NA,NA,NA,NA
"9",7,2,7,"L","THIR-I","THIR-I",1,NA,"Y",0.913,"F",5242,NA,NA,NA,NA
"10",7,10,8,"H","TACA","THIR-I",1,NA,"Y",1.534,"F",5443,NA,NA,NA,NA
"11",3,35,9,"H","MAEL","THIR-I",1,NA,"Y",0.21,"F",1877,NA,NA,NA,NA
"12",3,13,14,"L","THIR-I","THIR-I",1,NA,"Y",0.328,"F",1356,NA,NA,NA,NA
"13",3,21,11,"H","THIR-I","THIR-I",1,NA,"Y",0.236,"F",1529,NA,NA,NA,NA
"14",3,37,9,"H","TWIL-I","THIR-I",3,NA,"Y",2.325,"F",1927,NA,NA,NA,NA
"15",3,12,3,"H","BRHO","THIR-I",1,NA,"Y",0.056,"F",1320,NA,NA,NA,NA
"16",5,39,5,"L","TWIL-I","THIR-I",1,NA,"Y",1.1341,"A",4057,NA,NA,NA,NA
"17",5,41,5,"L","BRHO","THIR-I",3,NA,"Y",0.8048,"A",4107,NA,NA,NA,NA
"18",5,35,5,"H","ANAR","THIR-I",2,NA,"Y",3.4462,"A",3957,NA,NA,NA,NA
"19",5,10,5,"L","MAEL","THIR-I",2,NA,"Y",0.2088,"A",3332,NA,NA,NA,NA
"20",5,18,5,"H","AVBA","THIR-I",2,NA,"Y",0.2963,"A",3532,NA,NA,NA,NA
"21",14,18,15,"L","GITR","THIR-I",1,"B","Y",0.111,"F",11589,NA,NA,NA,NA
"22",14,10,15,"H","MICA","THIR-I",3,NA,"Y",0.482,"F",8576,NA,NA,NA,NA
"23",14,27,15,"H","PLNO","THIR-I",1,NA,"Y",0.041,"F",9001,NA,NA,NA,NA
"24",14,13,15,"L","BRNI","THIR-I",2,NA,"Y",0.851,"F",8651,NA,NA,NA,NA
"25",14,23,15,"L","PLER","THIR-I",1,NA,"Y",0.194,"F",8901,NA,NA,NA,NA
"26",4,1,6,"H","THIR-I","THIR-I",1,NA,"Y",0.083,"E",2090,NA,NA,NA,NA
"27",4,16,6,"H","MAEL","THIR-I",1,NA,"Y",0.02,"E",2465,NA,NA,NA,NA
"28",4,13,6,"H","TWIL-I","THIR-I",1,NA,"Y",0.812,"E",2390,NA,NA,NA,NA
"29",4,5,6,"L","CESO","THIR-I",1,NA,"Y",0.399,"E",2190,NA,NA,NA,NA
"30",4,11,6,"L","THIR-I","THIR-I",1,NA,"Y",0.305,"E",2340,NA,NA,NA,NA
"31",8,36,10,"L","PLNO","THIR-I",2,NA,"Y",3.3233,"A",7113,NA,NA,NA,NA
"32",8,11,10,"L","TACA","THIR-I",1,NA,"Y",1.0746,"A",6512,NA,NA,NA,NA
"33",8,5,10,"H","AMME","THIR-I",2,NA,"Y",6.1981,"A",6362,NA,NA,NA,NA
"34",8,4,10,"L","AMME","THIR-I",2,NA,"Y",1.5973,"A",6337,NA,NA,NA,NA
"35",8,7,10,"L","ACAM","THIR-I",1,NA,"Y",1.3521,"A",6412,NA,NA,NA,NA
"36",12,39,20,"H","LOMU","THIR-I",4,NA,"Y",0.573,"E",8240,NA,NA,NA,NA
"37",12,1,20,"L","MAEL","THIR-I",2,NA,"Y",1.101,"E",7314,NA,NA,NA,NA
"38",12,10,20,"H","BRHO","THIR-I",3,NA,"Y",0.213,"E",7539,NA,NA,NA,NA
"39",12,42,20,"H","AVBA","THIR-I",1,NA,"Y",0.085,"E",8315,NA,NA,NA,NA
"40",12,36,20,"L","ACAM","THIR-I",1,NA,"Y",0.837,"E",8165,NA,NA,NA,NA
